name,test,inaugurals,d-sep,i-sep,saving,dSepTime,iSepTime
Munin,"I(L_MYOP_APB_MUDENS,L_MYOP_ADM_MUSIZE,R_DELT_REPSTIM_POST_DECR)",,5,1,20.00,0.002524852752685547,0.011327028274536133
Munin,"I(R_LNLLP_APB_MUDENS,R_OTHER_ADM_DE_REGEN,R_APB_MUPDUR)",,6,1,16.67,0.0028619766235351562,0.021746158599853516
Munin,"I(R_APB_MVA_RECRUIT,R_OTHER_ADM_MALOSS,L_ULN_RDLDDEL)",,761,51,6.70,0.2383260726928711,0.0995631217956543
Munin,"I(L_LNLPC5_AXIL_SEV,R_LNLW_APB_NEUR_ACT,R_APB_SF_JITTER)",,60,1,1.67,0.021535873413085938,0.014711141586303711
Munin,"I(L_DELT_MUPINSTAB,L_NMT_APB_DENERV,R_DIFFN_ULN_BLOCK)",,845,150,17.75,0.27452778816223145,0.185899019241333
Munin,"I(L_OTHER_ISCH_BLOCK,L_ADM_QUAL_MUPDUR,L_LNLBE_MEDD2_DIFSLOW_WD)",,5,1,20.00,0.024907827377319336,0.023286819458007812
Munin,"I(L_LNLE_ADM_MUSIZE,DIFFN_DUMMY_3,R_ULN_BLOCK_WA)",,124,9,7.26,0.04591989517211914,0.027818918228149414
Munin,"I(R_MYOP_DELT_MUDENS,R_LNLLP_APB_NEUR_ACT,R_DIFFN_MEDD2_SALOSS)",,5,1,20.00,0.002515077590942383,0.004214048385620117
Munin,"I(L_MYOP_DELT_MUSIZE,R_LNLW_ADM_NEUR_ACT,R_MYDY_DELT_MUSIZE)",,20,1,5.00,0.007970809936523438,0.0021369457244873047
Munin,"I(L_MUSCLE_ADM_DE_REGEN,R_LNLW_ADM_MUSIZE,R_ADM_EFFMUS)",,42,8,19.05,0.01581096649169922,0.029093027114868164
Munin,"I(R_APB_REPSTIM_DECR,R_LNLW_ULND5_LD_WD,L_MED_AMP_WA)",,766,106,13.84,0.24094510078430176,0.17349505424499512
Munin,"I(L_MEDD2_LSLOW_WD,R_OTHER_ISCH_SALOSS,L_LNLLP_ADM_MALOSS)",,108,16,14.81,0.037574052810668945,0.02082204818725586
Munin,"I(R_LNLW_MED_SEV,L_ULND5_RD_E,R_MYOP_APB_DENERV)",,94,1,1.06,0.03445720672607422,0.008147001266479492
Munin,"I(R_LNL_DIFFN_ULND5_SALOSS,R_LNLW_ADM_MALOSS,R_MED_RDLDCV_EW)",,748,31,4.14,0.23281502723693848,0.08397698402404785
Munin,"I(L_OTHER_ADM_MUSIZE,L_LNLW_ADM_NEUR_ACT,R_APB_NEUR_ACT)",,19,1,5.26,0.0077571868896484375,0.00850987434387207
Munin,"I(R_LNLLP_APB_MUDENS,L_ULN_RD_WA,L_LNLBE_MEDD2_RD_EW)",,6,1,16.67,0.002969026565551758,0.0021920204162597656
Munin,"I(L_LNLE_ULND5_SALOSS,R_ADM_SF_JITTER,L_APB_SPONT_NEUR_DISCH)",,121,8,6.61,0.05539393424987793,0.03754401206970215
