name,test,inaugurals,d-sep,i-sep,saving,dSepTime,iSepTime
Andes,"I(TRY15,GRAV2,RApp6)",,145,27,18.62,0.011529922485351562,0.011784076690673828
Andes,"I(RApp12,SNode_41,SNode_136)",,420,344,81.90,0.038439035415649414,0.13185882568359375
Andes,"I(GOAL_108,APPLY77,GOAL65)",,365,257,70.41,0.03484988212585449,0.05698108673095703
Andes,"I(COMPO16,GOAL_103,KINE29)",,430,306,71.16,0.06685209274291992,0.06613588333129883
Andes,"I(GOAL_62,CHOOSE47,TRY15)",,185,55,29.73,0.01630997657775879,0.014405965805053711
Andes,"I(SNode_67,SNode_38,SNode_154)",,392,288,73.47,0.07100510597229004,0.11254501342773438
Andes,"I(WEIGHT57,SNode_12,SNode_73)",,14,1,7.14,0.0017731189727783203,0.007749080657958984
Andes,"I(GOAL_114,GOAL_109,GRAV2)",,40,8,20.00,0.02434396743774414,0.04686999320983887
Andes,"I(SNode_73,STRAT_90,APPLY32)",,229,76,33.19,0.0200347900390625,0.020352840423583984
Andes,"I(SNode_70,SNode_64,SNode_124)",,281,197,70.11,0.031001806259155273,0.10436010360717773
Andes,"I(IDENTIFY43,SNode_156,SNode_28)",,390,270,69.23,0.05254697799682617,0.05697298049926758
Andes,"I(SNode_9,SNode_4,SNode_59)",,107,1,0.93,0.00843501091003418,0.0032100677490234375
Andes,"I(SNode_156,RApp7,SNode_93)",,455,342,75.16,0.06311297416687012,0.09865593910217285
Andes,"I(RESOLVE42,GOAL_84,SNode_21)",,368,251,68.21,0.05441403388977051,0.04870295524597168
Andes,"I(RApp5,WRITE30,GOAL_2)",,292,163,55.82,0.027287006378173828,0.04094982147216797
Andes,"I(GOAL_53,KINEMATI17,SNode_115)",,174,90,51.72,0.014188051223754883,0.07009482383728027
Andes,"I(APPLY32,CONSTANT5,GOAL66)",,121,1,0.83,0.009634017944335938,0.0005500316619873047
Andes,"I(GRAV2,NORMAL50,GOAL72)",,3,1,33.33,0.000514984130859375,0.0005958080291748047
Andes,"I(SNode_71,RApp12,SNode_151)",,492,432,87.80,0.07686400413513184,0.14699006080627441
Andes,"I(WEIGHT57,FIND58,APPLY61)",,14,1,7.14,0.00152587890625,0.0005469322204589844
Andes,"I(INCLINE51,GOAL_104,SNode_93)",,13,5,38.46,0.030484914779663086,0.07082104682922363
Andes,"I(GOAL_53,WRITE31,SNode_133)",,174,90,51.72,0.014206886291503906,0.07104086875915527
Andes,"I(WRITE63,STRAT_90,RApp12)",,57,14,24.56,0.005017995834350586,0.0325620174407959
Andes,"I(GOAL66,WEIGHT57,SYSTEM18)",,19,1,5.26,0.0019800662994384766,0.0006330013275146484
