name,test,inaugurals,d-sep,i-sep,saving,dSepTime,iSepTime,
Insurance,"I(RuggedAuto,MakeModel,OtherCarCost)",7,58,31,53.45,0.000372171,0.005788803,
Insurance,"I(GoodStudent,MedCost,SocioEcon)",6,67,55,82.09,0.000848055,0.006159067,
Insurance,"I(Antilock,ThisCarDam,OtherCarCost)",6,76,53,69.74,0.00075388,0.005970001,
Insurance,"I(SocioEcon,DrivQuality,VehicleYear)",5,51,23,45.1,0.000430107,0.006119013,
Insurance,"I(ThisCarDam,ThisCarCost,HomeBase)",4,81,66,81.48,0.00099802,0.005869865,
Insurance,"I(MedCost,ThisCarDam,Age)",6,80,58,72.5,0.000771046,0.005940914,
Insurance,"I(DrivingSkill,DrivQuality,DrivHist)",5,57,23,40.35,0.00043416,0.006193876,
Insurance,"I(VehicleYear,SocioEcon,RiskAversion)",5,48,10,20.83,0.000298023,0.006168842,
Insurance,"I(DrivingSkill,Accident,CarValue)",6,65,39,60,0.000690937,0.006621122,
Insurance,"I(HomeBase,MedCost,Cushioning)",6,81,59,72.84,0.000883102,0.006211996,
Insurance,"I(MedCost,OtherCarCost,Accident)",6,79,59,74.68,0.000772953,0.00611496,
Insurance,"I(SocioEcon,PropCost,Cushioning)",3,92,87,94.57,0.001276016,0.006637096,
Insurance,"I(DrivingSkill,RuggedAuto,GoodStudent)",7,67,28,41.79,0.000464201,0.006314993,
Insurance,"I(Antilock,Theft,ThisCarDam)",5,63,47,74.6,0.000642061,0.006439924,
,,,,,,0.056567669,0.606776237,1072.66%
Mildew,"I(udbytte,mikro_2,foto_4)",0,85,85,100,0.000787973,0.005724907,
Mildew,"I(lai_1,meldug_4,straaling_3)",4,67,56,83.58,0.000770092,0.007565022,
Mildew,"I(dm_4,middel_3,meldug_1)",0,80,80,100,0.000697136,0.005646944,
Mildew,"I(lai_1,dm_2,middel_2)",1,67,44,65.67,0.00058794,0.007858992,
Mildew,"I(meldug_1,foto_3,udbytte)",0,64,64,100,0.000637054,0.005560875,
Mildew,"I(foto_2,straaling_4,middel_1)",2,42,23,54.76,0.000342131,0.007277966,
Mildew,"I(foto_1,foto_2,middel_2)",2,55,39,70.91,0.00048089,0.007325172,
Mildew,"I(meldug_2,lai_4,meldug_3)",4,69,62,89.86,0.000876904,0.007067919,
Mildew,"I(foto_1,middel_2,foto_2)",2,38,20,52.63,0.000257015,0.007117987,
Mildew,"I(nedboer_2,foto_4,straaling_3)",3,77,69,89.61,0.000965118,0.006763935,
Mildew,"I(temp_1,lai_1,meldug_3)",3,26,7,26.92,0.00019002,0.007145882,
Mildew,"I(foto_4,foto_2,lai_1)",2,70,61,87.14,0.000653028,0.006369114,
Mildew,"I(foto_1,straaling_1,temp_1)",1,38,12,31.58,0.000243902,0.007337093,
Mildew,"I(lai_0,foto_4,middel_1)",3,77,69,89.61,0.001260996,0.008489847,
Mildew,"I(udbytte,middel_1,dm_3)",0,81,81,100,0.000782967,0.005692005,
Mildew,"I(temp_4,meldug_2,lai_1)",2,4,1,25,0.000105858,0.007303953,
Mildew,"I(lai_0,foto_3,nedboer_3)",3,65,49,75.38,0.000653028,0.007213116,
Mildew,"I(straaling_2,straaling_3,lai_4)",4,6,1,16.67,6.29E-05,0.006211042,
Mildew,"I(foto_3,lai_1,meldug_2)",3,55,37,67.27,0.000431061,0.007204056,
Mildew,"I(foto_4,nedboer_3,straaling_3)",3,64,52,81.25,0.000505924,0.006314039,
Mildew,"I(lai_2,nedboer_2,straaling_2)",3,40,19,47.5,0.000298023,0.007261038,
Mildew,"I(mikro_1,dm_2,temp_4)",1,59,47,79.66,0.000564098,0.007536888,
Mildew,"I(dm_2,nedboer_3,lai_1)",1,51,35,68.63,0.00040102,0.007200956,
Mildew,"I(middel_1,temp_4,temp_1)",1,21,1,4.76,0.000147104,0.007360935,
Mildew,"I(mikro_2,nedboer_1,straaling_4)",3,43,22,51.16,0.000365019,0.007505178,
Mildew,"I(udbytte,straaling_4,dm_2)",0,83,83,100,0.00066781,0.005516052,
Mildew,"I(middel_2,lai_3,nedboer_3)",4,56,41,73.21,0.000535011,0.007386923,
Mildew,"I(meldug_2,temp_1,middel_3)",2,38,14,36.84,0.000272036,0.007250071,
Mildew,"I(straaling_2,dm_2,nedboer_1)",1,56,43,76.79,0.00058198,0.007421017,
Mildew,"I(meldug_3,dm_2,temp_2)",1,64,52,81.25,0.000622988,0.007295847,
Mildew,"I(dm_4,middel_2,lai_0)",0,80,80,100,0.000648975,0.005406857,
Mildew,"I(middel_1,temp_3,lai_3)",4,21,8,38.1,0.000146866,0.006886005,
Mildew,"I(foto_3,meldug_4,lai_2)",3,70,58,82.86,0.000827074,0.007315874,
Mildew,"I(straaling_4,meldug_3,mikro_2)",3,4,1,25,0.000159025,0.007148027,
Mildew,"I(nedboer_3,foto_4,middel_3)",3,75,64,85.33,0.000942945,0.008718014,
Mildew,"I(udbytte,meldug_2,middel_1)",0,82,82,100,0.000823021,0.006805897,
Mildew,"I(lai_2,straaling_3,foto_1)",2,40,21,52.5,0.000309944,0.007307053,
Mildew,"I(straaling_2,dm_2,nedboer_3)",1,56,43,76.79,0.000566006,0.007637024,
Mildew,"I(nedboer_3,middel_3,meldug_1)",1,7,1,14.29,7.49E-05,0.007558107,
Mildew,"I(straaling_3,mikro_2,mikro_1)",3,5,1,20,0.000148058,0.007204056,
Mildew,"I(middel_3,lai_0,middel_2)",1,6,1,16.67,6.29E-05,0.007184982,
Mildew,"I(nedboer_3,middel_3,udbytte)",0,7,7,100,7.61E-05,0.005028963,
Mildew,"I(temp_3,foto_2,dm_3)",1,9,3,33.33,0.000174999,0.006989002,
Mildew,"I(lai_2,lai_1,temp_1)",3,38,19,50,0.000428915,0.009036064,
Mildew,"I(meldug_2,lai_0,dm_1)",1,37,18,48.65,0.000352144,0.00759387,
Mildew,"I(nedboer_3,straaling_1,mikro_1)",2,7,1,14.29,7.80E-05,0.007252932,
Mildew,"I(foto_1,nedboer_1,straaling_4)",1,38,12,31.58,0.000255108,0.007277966,
Mildew,"I(lai_3,dm_1,nedboer_1)",3,55,44,80,0.00047493,0.007262945,
Mildew,"I(meldug_3,lai_2,lai_0)",3,51,29,56.86,0.000456095,0.00738883,
Mildew,"I(dm_3,middel_1,foto_2)",1,65,61,93.85,0.000521183,0.006625891,
Mildew,"I(meldug_3,dm_3,foto_4)",1,79,77,97.47,0.000914812,0.006297112,
Mildew,"I(middel_3,straaling_1,dm_1)",1,6,1,16.67,6.48E-05,0.008778095,
Mildew,"I(lai_3,dm_3,meldug_1)",1,78,77,98.72,0.001272202,0.008477926,
Mildew,"I(meldug_2,temp_1,mikro_2)",3,38,18,47.37,0.000296116,0.007220984,
Mildew,"I(temp_4,foto_3,mikro_3)",3,4,1,25,0.000250101,0.006905079,
Mildew,"I(straaling_1,middel_1,mikro_2)",3,7,1,14.29,7.20E-05,0.007086039,
Mildew,"I(lai_0,foto_4,straaling_4)",3,77,69,89.61,0.000946045,0.006775141,
Mildew,"I(foto_1,lai_4,foto_3)",2,71,61,85.92,0.000955105,0.007061005,
Mildew,"I(nedboer_3,middel_2,meldug_1)",1,7,1,14.29,7.10E-05,0.007306099,
Mildew,"I(mikro_3,dm_3,middel_3)",1,84,79,94.05,0.000943899,0.007058144,
Mildew,"I(foto_4,straaling_1,mikro_1)",3,65,52,80,0.000519991,0.006302118,
Mildew,"I(mikro_1,straaling_1,middel_3)",2,37,9,24.32,0.000253916,0.007413149,
Mildew,"I(dm_4,nedboer_3,foto_4)",0,79,79,100,0.000697851,0.005511045,
Mildew,"I(udbytte,foto_2,dm_2)",0,82,82,100,0.000780821,0.005537033,
Mildew,"I(meldug_2,foto_4,temp_3)",3,76,69,90.79,0.000994921,0.006968021,
Mildew,"I(dm_1,temp_4,nedboer_3)",1,36,13,36.11,0.000268936,0.007411003,
Mildew,"I(lai_0,straaling_1,foto_4)",3,26,16,61.54,0.000195026,0.008991003,
Mildew,"I(temp_4,nedboer_2,temp_1)",1,4,1,25,5.48E-05,0.007574081,
Mildew,"I(dm_1,straaling_2,nedboer_1)",1,36,13,36.11,0.000277996,0.007442236,
Mildew,"I(foto_3,temp_1,middel_2)",3,55,37,67.27,0.000436783,0.006980181,
Mildew,"I(straaling_4,meldug_2,nedboer_3)",2,4,1,25,0.000101089,0.007263899,
Mildew,"I(straaling_4,udbytte,straaling_1)",0,99,99,100,0.001420975,0.006269932,
Mildew,"I(meldug_4,straaling_4,middel_2)",4,61,44,72.13,0.000477076,0.006937981,
Mildew,"I(middel_3,foto_4,mikro_3)",3,79,67,84.81,0.000945091,0.006733894,
Mildew,"I(dm_2,temp_2,middel_3)",1,49,35,71.43,0.000387907,0.007353067,
Mildew,"I(straaling_3,nedboer_2,temp_2)",1,5,1,20,5.48E-05,0.007316113,
Mildew,"I(mikro_3,meldug_4,lai_0)",4,68,53,77.94,0.000773907,0.007343054,
Mildew,"I(dm_3,straaling_1,middel_3)",1,65,60,92.31,0.000522852,0.006762028,
Mildew,"I(nedboer_1,middel_1,foto_3)",3,22,10,45.45,0.00015521,0.006750822,
Mildew,"I(lai_1,dm_2,meldug_1)",1,67,44,65.67,0.00059104,0.007387161,
Mildew,"I(foto_1,straaling_1,foto_2)",2,38,20,52.63,0.000261068,0.007310867,
Mildew,"I(middel_2,meldug_2,lai_1)",2,13,1,7.69,0.000159025,0.007212877,
Mildew,"I(lai_2,mikro_3,middel_1)",4,60,54,90,0.000634909,0.007354021,
Mildew,"I(lai_2,straaling_1,foto_4)",3,40,27,67.5,0.000309944,0.006074905,
Mildew,"I(straaling_1,middel_1,foto_2)",2,7,1,14.29,8.20E-05,0.007200003,
Mildew,"I(temp_3,lai_2,temp_4)",3,9,1,11.11,0.000160933,0.007242918,
Mildew,"I(dm_3,mikro_2,middel_2)",1,68,60,88.24,0.000638962,0.006957054,
Mildew,"I(meldug_3,straaling_3,nedboer_1)",3,51,27,52.94,0.000386953,0.007268906,
Mildew,"I(nedboer_2,temp_2,temp_1)",1,15,1,6.67,0.00011301,0.007289886,
Mildew,"I(straaling_3,temp_2,straaling_1)",1,5,1,20,5.89E-05,0.007399082,
Mildew,"I(nedboer_2,meldug_2,straaling_1)",2,15,1,6.67,0.000168085,0.00721097,
Mildew,"I(straaling_3,mikro_2,dm_3)",1,5,3,60,0.000144005,0.006536007,
Mildew,"I(nedboer_2,mikro_3,foto_4)",3,60,57,95,0.000633955,0.006841898,
Mildew,"I(nedboer_1,mikro_3,straaling_4)",4,65,53,81.54,0.000680208,0.009089947,
Mildew,"I(nedboer_2,meldug_1,lai_3)",4,15,4,26.67,0.000119209,0.007049799,
Mildew,"I(meldug_1,foto_2,dm_3)",1,53,41,77.36,0.000464916,0.006855011,
Mildew,"I(middel_3,straaling_3,temp_1)",1,6,1,16.67,6.48E-05,0.007397175,
Mildew,"I(middel_3,meldug_4,foto_3)",3,67,52,77.61,0.00077486,0.007104158,
Mildew,"I(temp_3,udbytte,meldug_3)",0,109,109,100,0.001429081,0.006195068,
Mildew,"I(meldug_2,temp_1,dm_2)",1,38,22,57.89,0.000272989,0.007333994,
,,,,,,0.046529293,0.70869112,1523.11%
Water,"I(CKNN_12_45,CKND_12_45,CKNN_12_30)",4,56,37,66.07,0.00058198,0.006191015,
