name,inaugurals,d-sep,timeAnY,dSepTime,i-sep,timeAnXYZ,iSepTime,saving,time-saving
Andes,0.0,258389,10.936407327651978,35.45572233200073,168416,29.632964611053467,62.90718722343445,35.0,-77.0
Link,0.0,320979,8.750146389007568,95.50831580162048,75596,22.8609139919281,84.06769967079163,76.0,12.0
Pathfinder,0.0,124594,0.28557395935058594,8.155201196670532,63097,0.68576979637146,14.805070400238037,49.0,-82.0
Pigs,0.0,112258,0.9429326057434082,17.251091480255127,13703,2.7805325984954834,13.460038900375366,88.0,22.0
