name,test,inaugurals,d-sep,i-sep,saving,dSepTime,iSepTime
Alarm,"I(CATECHOL,VENTLUNG,PAP)",,55,43,78.18,0.0017421245574951172,0.002714872360229492
Alarm,"I(ERRCAUTER,SHUNT,VENTLUNG)",,3,1,33.33,0.00019121170043945312,0.0004048347473144531
Alarm,"I(HRBP,PAP,HYPOVOLEMIA)",,61,46,75.41,0.0018880367279052734,0.0027680397033691406
Alarm,"I(INSUFFANESTH,CO,INTUBATION)",,84,66,78.57,0.003038167953491211,0.003194093704223633
Alarm,"I(PULMEMBOLUS,SHUNT,HR)",,23,13,56.52,0.0007870197296142578,0.0014591217041015625
Alarm,"I(HREKG,SAO2,TPR)",,69,54,78.26,0.0022301673889160156,0.0037779808044433594
Alarm,"I(TPR,CVP,DISCONNECT)",,13,3,23.08,0.0004329681396484375,0.00040411949157714844
Alarm,"I(PVSAT,VENTTUBE,HR)",,31,21,67.74,0.0008721351623535156,0.0020759105682373047
Alarm,"I(LVFAILURE,EXPCO2,CATECHOL)",,8,2,25.00,0.0006198883056640625,0.001210927963256836
Alarm,"I(HR,SHUNT,INSUFFANESTH)",,58,41,70.69,0.0015659332275390625,0.002841949462890625
Alarm,"I(VENTMACH,HYPOVOLEMIA,HRBP)",,21,13,61.90,0.0005848407745361328,0.00186920166015625
Alarm,"I(VENTALV,VENTTUBE,VENTMACH)",,27,11,40.74,0.0007770061492919922,0.0010540485382080078
Alarm,"I(PAP,LVEDVOLUME,VENTMACH)",,12,3,25.00,0.0004279613494873047,0.00045418739318847656
Alarm,"I(CATECHOL,DISCONNECT,MINVOLSET)",,53,40,75.47,0.0013790130615234375,0.0023469924926757812
Alarm,"I(CVP,ERRCAUTER,MINVOL)",,13,10,76.92,0.00039505958557128906,0.0008158683776855469
Alarm,"I(LVEDVOLUME,PAP,PVSAT)",,12,9,75.00,0.0003809928894042969,0.0009870529174804688
Alarm,"I(LVEDVOLUME,CVP,VENTTUBE)",,15,12,80.00,0.00046896934509277344,0.0007610321044921875
Alarm,"I(CO,VENTLUNG,TPR)",,70,52,74.29,0.0021491050720214844,0.0036830902099609375
