name,test,inaugurals,d-sep,i-sep,saving
Water,"I(CBODD_12_15,C_NI_12_00,CKNN_12_30)",14,38,13,34.21
Water,"I(CKNN_12_30,CKNI_12_15,CBODD_12_00)",15,40,16,40.00
Water,"I(CNON_12_45,CNOD_12_30,CBODN_12_15)",7,71,57,80.28
Water,"I(CKNN_12_00,CBODN_12_30,C_NI_12_00)",14,60,32,53.33
Water,"I(C_NI_12_15,CNOD_12_15,CKNI_12_00)",17,17,5,29.41
Water,"I(CKND_12_30,CNON_12_45,CKND_12_15)",6,88,63,71.59
Water,"I(CBODN_12_15,CKND_12_30,C_NI_12_30)",14,25,6,24.00
Water,"I(CNON_12_15,CBODN_12_45,CKNN_12_30)",7,85,64,75.29
Water,"I(C_NI_12_30,CNON_12_00,CKND_12_00)",18,21,7,33.33
Water,"I(CNOD_12_45,CBODD_12_30,CBODN_12_15)",9,69,55,79.71
Water,"I(CNOD_12_00,CBODD_12_15,CNON_12_30)",12,42,21,50.00
Water,"I(CBODD_12_45,CBODN_12_15,CKNI_12_45)",10,66,50,75.76
Water,"I(C_NI_12_15,CBODN_12_00,CKNI_12_15)",18,17,5,29.41
Water,"I(C_NI_12_30,CKNI_12_45,CNOD_12_30)",14,21,9,42.86
Water,"I(CKNN_12_45,CNON_12_15,CBODD_12_30)",8,57,37,64.91
Water,"I(C_NI_12_30,CKNN_12_45,C_NI_12_15)",13,21,7,33.33
Water,"I(CKND_12_00,CNOD_12_30,CKNI_12_15)",14,12,1,8.33
Water,"I(C_NI_12_00,CBODD_12_45,CNOD_12_30)",10,79,63,79.75
Water,"I(CNON_12_45,C_NI_12_30,CKNN_12_00)",7,76,58,76.32
Water,"I(CBODD_12_00,CKNN_12_30,CBODN_12_15)",14,19,2,10.53
Water,"I(CKNI_12_45,CNON_12_30,CBODN_12_45)",9,28,15,53.57
Water,"I(CNOD_12_15,CBODD_12_00,CNOD_12_00)",17,25,5,20.00
Water,"I(CBODD_12_00,CNON_12_00,CBODN_12_45)",9,19,12,63.16
Water,"I(CBODD_12_00,CKNI_12_45,CKNI_12_30)",18,19,1,5.26
Water,"I(CKNN_12_45,CKND_12_15,CNON_12_30)",9,46,29,63.04
Water,"I(CBODD_12_00,CBODN_12_15,CKND_12_30)",14,19,7,36.84
Water,"I(CBODD_12_45,CBODD_12_30,CKND_12_30)",7,68,56,82.35
Water,"I(CKNI_12_15,CKNN_12_45,C_NI_12_30)",13,51,31,60.78
Water,"I(CKNI_12_15,CKNN_12_45,CKNN_12_00)",13,51,31,60.78
Water,"I(CNOD_12_30,CKNN_12_15,CBODN_12_45)",8,55,40,72.73
Water,"I(CKND_12_15,CBODN_12_30,CKNI_12_30)",13,60,38,63.33
Water,"I(C_NI_12_30,CBODN_12_00,CKNN_12_30)",15,21,7,33.33
Water,"I(CKNI_12_00,CNOD_12_30,CBODD_12_45)",10,61,43,70.49
Water,"I(C_NI_12_30,CKNN_12_30,CBODD_12_15)",14,21,8,38.10
Water,"I(CNOD_12_15,CBODN_12_15,CNOD_12_00)",16,27,9,33.33
Water,"I(CKNN_12_00,CNOD_12_00,CNON_12_30)",13,21,4,19.05
Water,"I(CBODN_12_00,CBODN_12_15,CKNI_12_45)",17,28,7,25.00
Water,"I(CKND_12_30,CNON_12_15,CNON_12_45)",6,53,39,73.58
Water,"I(CKND_12_45,CNON_12_15,CNON_12_45)",5,63,48,76.19
Water,"I(CKNN_12_30,CNON_12_00,CKNI_12_30)",15,41,17,41.46
Water,"I(CNOD_12_15,C_NI_12_00,C_NI_12_30)",17,22,5,22.73
Water,"I(CNOD_12_30,CNOD_12_45,CKNI_12_30)",9,74,62,83.78
Water,"I(CKNI_12_15,CNON_12_15,CNOD_12_45)",9,27,13,48.15
Water,"I(CBODD_12_30,CKNN_12_30,C_NI_12_00)",11,66,46,69.70
Water,"I(CBODN_12_00,CBODN_12_45,CBODN_12_30)",9,82,68,82.93
Water,"I(CBODN_12_00,CNOD_12_45,CKND_12_45)",5,91,81,89.01
Water,"I(CKNI_12_15,CNOD_12_00,CKNI_12_45)",18,27,5,18.52
Water,"I(CKNN_12_15,CNOD_12_00,CNON_12_00)",17,26,4,15.38
Water,"I(CKND_12_15,CKNI_12_45,C_NI_12_30)",17,48,17,35.42
Water,"I(C_NI_12_30,CBODN_12_30,CNOD_12_30)",12,69,43,62.32
Water,"I(CBODN_12_45,CKNN_12_15,CNON_12_30)",9,70,54,77.14
Water,"I(C_NI_12_45,C_NI_12_30,CNON_12_15)",17,2,2,100.00
Water,"I(CBODD_12_00,C_NI_12_00,CKNN_12_30)",15,19,1,5.26
Water,"I(C_NI_12_45,CNON_12_15,CBODD_12_00)",17,22,8,36.36
Water,"I(CBODN_12_45,CKNN_12_00,CBODN_12_30)",9,67,50,74.63
Water,"I(C_NI_12_45,CKNI_12_00,C_NI_12_30)",18,22,8,36.36
Water,"I(CBODD_12_45,C_NI_12_30,CBODN_12_15)",10,65,50,76.92
Water,"I(CKNN_12_15,CBODN_12_15,CNOD_12_30)",12,26,6,23.08
Water,"I(CKNN_12_15,C_NI_12_45,C_NI_12_30)",17,26,4,15.38
Water,"I(C_NI_12_15,CKND_12_30,CBODN_12_15)",14,17,5,29.41
Water,"I(CNON_12_15,CKNN_12_30,C_NI_12_00)",14,46,24,52.17
Water,"I(CNON_12_45,CNON_12_15,CKNN_12_30)",7,70,56,80.00
Water,"I(CKND_12_15,CKND_12_45,CKNN_12_00)",13,56,31,55.36
Water,"I(C_NI_12_45,C_NI_12_15,CKNN_12_15)",17,5,4,80.00
