name,inaugurals,d-sep,timeAnY,dSepTime,i-sep,timeAnXYZ,iSepTime,%% check saving,%% time saving
Andes,0.0,22958,0.018630504608154297,2.390052080154419,21213,0.0377812385559082,2.468989372253418,8.0,-3.0
Link,0.0,65874,0.0592656135559082,20.07520294189453,59125,0.13296008110046387,21.206138134002686,10.0,-6.0
Pathfinder,0.0,7439,0.006047487258911133,0.5289790630340576,5808,0.015517234802246094,0.717566967010498,22.0,-36.0
Pigs,0.0,17465,0.023102998733520508,2.741534471511841,13191,0.05819845199584961,2.871100902557373,24.0,-5.0
