name,inaugurals,d-sep,timeAnY,dSepTime,i-sep,timeAnXYZ,iSepTime,%% check saving,%% time saving
Andes,0.0,7622,0.008630037307739258,0.7882189750671387,7077,0.015399694442749023,0.8389182090759277,7.0,-6.0
Link,0.0,21754,0.022374868392944336,6.833014726638794,21009,0.05013537406921387,7.051847457885742,3.0,-3.0
Pathfinder,0.0,2955,0.0023107528686523438,0.2204294204711914,2477,0.008340120315551758,0.28705763816833496,16.0,-30.0
Pigs,0.0,8060,0.01212930679321289,1.314466953277588,6670,0.02534770965576172,1.4353508949279785,17.0,-9.0
