name,inaugurals,d-sep,timeAnY,dSepTime,i-sep,timeAnXYZ,iSepTime,%% check saving,%% time saving
Andes,0.0,4569,0.00496220588684082,0.4718325138092041,4149,0.007239580154418945,0.47507429122924805,9.0,-1.0
Link,0.0,13775,0.01066899299621582,3.965325355529785,11479,0.021254301071166992,4.200604438781738,17.0,-6.0
Pathfinder,0.0,1565,0.0016334056854248047,0.10631823539733887,1399,0.003206968307495117,0.1300041675567627,11.0,-22.0
Pigs,0.0,3309,0.004206418991088867,0.47892093658447266,3079,0.027593135833740234,0.5142362117767334,7.0,-7.0
