name,inaugurals,d-sep,timeAnY,dSepTime,i-sep,timeAnXYZ,iSepTime,%% check saving,%% time saving
Andes,0.0,40106,0.034557342529296875,4.256911277770996,36050,0.07466983795166016,4.426786184310913,10.0,-4.0
Link,0.0,121315,0.12262392044067383,36.766332387924194,109366,0.25279760360717773,38.60130023956299,10.0,-5.0
Pathfinder,0.0,15551,0.014641523361206055,1.199761152267456,13292,0.034384727478027344,1.4779579639434814,15.0,-23.0
Pigs,0.0,47230,0.06280970573425293,8.063138484954834,39673,0.14513897895812988,8.518979787826538,16.0,-6.0
